Larger automaton,Smaller automaton,L.states,L.initial,L.final,L.transitions,S.states,S.initial,S.final,S.transitions,ET.B.states,ET.B.final,ET.B.mean,ET.B.stddev,ET.B.median,ET.B.user,ET.B.system,ET.B.min,ET.B.max,ET.L.smt.checked,ET.L.smt.processed,ET.L.smt.sat,ET.L.smt.false,ET.L.smt.skipped,ET.L.smt.l.lasso,ET.L.smt.s.lasso,ET.L.smt.states,ET.L.smt.final,ET.L.smt.mean,ET.L.smt.stddev,ET.L.smt.median,ET.L.smt.user,ET.L.smt.system,ET.L.smt.min,ET.L.smt.max,ET.L.smt_free.checked,ET.L.smt_free.processed,ET.L.smt_free.sat,ET.L.smt_free.false,ET.L.smt_free.skipped,ET.L.smt_free.l.lasso,ET.L.smt_free.s.lasso,ET.L.smt_free.states,ET.L.smt_free.final,ET.L.smt_free.mean,ET.L.smt_free.stddev,ET.L.smt_free.median,ET.L.smt_free.user,ET.L.smt_free.system,ET.L.smt_free.min,ET.L.smt_free.max,ET.P.forward.checked,ET.P.forward.processed,ET.P.forward.sat,ET.P.forward.false,ET.P.forward.skipped,ET.P.forward.states,ET.P.forward.final,ET.P.forward.mean,ET.P.forward.stddev,ET.P.forward.median,ET.P.forward.user,ET.P.forward.system,ET.P.forward.min,ET.P.forward.max,ET.P.backward.checked,ET.P.backward.processed,ET.P.backward.sat,ET.P.backward.false,ET.P.backward.skipped,ET.P.backward.states,ET.P.backward.final,ET.P.backward.mean,ET.P.backward.stddev,ET.P.backward.median,ET.P.backward.user,ET.P.backward.system,ET.P.backward.min,ET.P.backward.max,ET.P.no_lengths.checked,ET.P.no_lengths.processed,ET.P.no_lengths.sat,ET.P.no_lengths.false,ET.P.no_lengths.skipped,ET.P.no_lengths.states,ET.P.no_lengths.final,ET.P.no_lengths.mean,ET.P.no_lengths.stddev,ET.P.no_lengths.median,ET.P.no_lengths.user,ET.P.no_lengths.system,ET.P.no_lengths.min,ET.P.no_lengths.max,ET.C.checked,ET.C.processed,ET.C.sat,ET.C.false,ET.C.skipped,ET.C.len.sat,ET.C.len.unsat,ET.C.par.sat,ET.C.par.unsat,ET.C.l.lasso,ET.C.s.lasso,ET.C.states,ET.C.final,ET.C.mean,ET.C.stddev,ET.C.median,ET.C.user,ET.C.system,ET.C.min,ET.C.max,FP.B.states,FP.B.final,FP.B.mean,FP.B.stddev,FP.B.median,FP.B.user,FP.B.system,FP.B.min,FP.B.max,FP.L.smt.checked,FP.L.smt.processed,FP.L.smt.sat,FP.L.smt.false,FP.L.smt.skipped,FP.L.smt.l.lasso,FP.L.smt.s.lasso,FP.L.smt.states,FP.L.smt.final,FP.L.smt.mean,FP.L.smt.stddev,FP.L.smt.median,FP.L.smt.user,FP.L.smt.system,FP.L.smt.min,FP.L.smt.max,FP.L.smt_free.checked,FP.L.smt_free.processed,FP.L.smt_free.sat,FP.L.smt_free.false,FP.L.smt_free.skipped,FP.L.smt_free.l.lasso,FP.L.smt_free.s.lasso,FP.L.smt_free.states,FP.L.smt_free.final,FP.L.smt_free.mean,FP.L.smt_free.stddev,FP.L.smt_free.median,FP.L.smt_free.user,FP.L.smt_free.system,FP.L.smt_free.min,FP.L.smt_free.max,FP.P.forward.checked,FP.P.forward.processed,FP.P.forward.sat,FP.P.forward.false,FP.P.forward.skipped,FP.P.forward.states,FP.P.forward.final,FP.P.forward.mean,FP.P.forward.stddev,FP.P.forward.median,FP.P.forward.user,FP.P.forward.system,FP.P.forward.min,FP.P.forward.max,FP.P.backward.checked,FP.P.backward.processed,FP.P.backward.sat,FP.P.backward.false,FP.P.backward.skipped,FP.P.backward.states,FP.P.backward.final,FP.P.backward.mean,FP.P.backward.stddev,FP.P.backward.median,FP.P.backward.user,FP.P.backward.system,FP.P.backward.min,FP.P.backward.max,FP.P.no_lengths.checked,FP.P.no_lengths.processed,FP.P.no_lengths.sat,FP.P.no_lengths.false,FP.P.no_lengths.skipped,FP.P.no_lengths.states,FP.P.no_lengths.final,FP.P.no_lengths.mean,FP.P.no_lengths.stddev,FP.P.no_lengths.median,FP.P.no_lengths.user,FP.P.no_lengths.system,FP.P.no_lengths.min,FP.P.no_lengths.max,FP.C.checked,FP.C.processed,FP.C.sat,FP.C.false,FP.C.skipped,FP.C.len.sat,FP.C.len.unsat,FP.C.par.sat,FP.C.par.unsat,FP.C.l.lasso,FP.C.s.lasso,FP.C.states,FP.C.final,FP.C.mean,FP.C.stddev,FP.C.median,FP.C.user,FP.C.system,FP.C.min,FP.C.max,,,,,,,,,,,,,,,
../../ARMCautomata/Bakery-4P-BinEnc-BwBad/armcNFA_inclTest_35,../../ARMCautomata/Bakery-4P-BinEnc-BwBad/armcNFA_inclTest_0,434,1,1,434,4,1,1,4,21,1,0.07747772968500001,0.0022558558939617572,0.07747772968500001,0.068792415,0.0037014299999999995,0.07588259868500001,0.07907286068500001,24,20,20,0,1,64,8,21,1,0.70653948067,0.012367685097468764,0.70653948067,0.65876929,0.035099855,0.69779420667,0.71528475467,24,20,20,0,1,64,8,21,1,0.51599783399,0.028626396378257635,0.51599783399,0.45610792999999994,0.04814473,0.49575591499000005,0.53623975299,13,9,7,2,1,7,1,36.939678970494995,0.06338048324864717,36.939678970494995,36.80026459999999,0.05834921,36.894862200995,36.984495739995,13,9,7,2,1,7,1,8.985741843495001,0.0037584281054983287,8.985741843495001,8.87918956,0.07900360999999999,8.983084233495001,8.988399453495001,13,9,7,2,1,7,1,3.19216997471,0.13131491518747507,3.19216997471,3.0568813649999997,0.11382423,3.09931630771,3.28502364171,13,9,7,2,1,8,0,6,2,44,10,7,1,3.31244339342,0.067793681626924,3.31244339342,3.221559405,0.068137725,3.2645060214200003,3.36038076542,59,1,0.09676950714500002,0.03016017391915479,0.09676950714500002,0.0812737,0.009552612499999998,0.07544304364500001,0.11809597064500002,59,58,58,0,1,172,8,59,1,1.129765247465,0.026701180786751554,1.129765247465,1.06362557,0.04938283,1.110884661465,1.148645833465,59,58,58,0,1,172,8,59,1,0.5730026634350001,0.004854616150392111,0.5730026634350001,0.50075057,0.05407724,0.5695699314350001,0.5764353954350001,42,41,37,4,1,37,1,184.09950940546003,1.080662690319199,184.09950940546003,183.55959897499997,0.08866044,183.33536548896,184.86365332196002,42,41,37,4,1,37,1,25.892580000754997,0.4999273043412369,25.892580000754997,25.788776524999996,0.0345537125,25.539078013755,26.246081987754998,42,41,37,4,1,37,1,5.9405172048849995,0.04009861064041957,5.9405172048849995,5.848568074999999,0.067971935,5.912163205385,5.968871204385,42,41,37,4,1,40,0,36,4,146,10,37,1,6.028965561425,0.004001076040102873,6.028965561425,5.917852245,0.08327315499999999,6.026136373425,6.031794749425,,,,,,,,,,,,,,,
../../modified_automata/ARMCautomata/IBakery-5P-UnrEnc-BwBad-Nondet/armcNFA_inclTest_30_removed_transitions,../../modified_automata/ARMCautomata/IBakery-5P-UnrEnc-BwBad-Nondet/armcNFA_inclTest_15,821,1,1,821,221,1,1,221,6,1,0.10985123771500001,0.01962448086937396,0.10985123771500001,0.09502721,0.0058694175,0.09597463421500001,0.12372784121500001,388,2,2,0,4,11,11,6,1,0.53324653289,0.01751841564751169,0.53324653289,0.48034053499999996,0.039228935,0.52085914239,0.54563392339,388,2,2,0,4,11,11,6,1,0.533831631705,0.003237781846976773,0.533831631705,0.48043376000000004,0.035455839999999995,0.531542174205,0.536121089205,389,2,2,0,5,6,1,8.444686792025,0.13624887366846347,8.444686792025,8.367455215,0.04958016,8.348344289525,8.541029294525,389,2,2,0,5,6,1,19.68280352405,7.408816035124268,19.68280352405,19.53259365,0.077735315,14.443979465049999,24.92162758305,389,2,2,0,5,6,1,2.198443088575,0.029946068349772554,2.198443088575,2.136097905,0.047603375,2.177268020575,2.219618156575,389,2,2,0,5,2,0,2,0,13,13,6,1,2.38530259823,0.011493105024905699,2.38530259823,2.3103833049999993,0.054409635,2.3771757457300002,2.3934294507300002,1157,1,0.10681611225,0.006878526170882287,0.10681611225,0.075804065,0.017317174999999997,0.10195225975,0.11167996475,1007,1011,414,597,38,209,666,410,1,9.50922158354,0.09527890806950906,9.50922158354,9.441789725,0.039721055,9.44184922154,9.576593945539999,1007,1011,414,597,38,209,666,410,1,0.58531938167,0.01296833129589345,0.58531938167,0.5515845449999999,0.018685275,0.57614938667,0.59448937667,404,398,29,369,8,34,1,1046.088827665815,19.8410479757493,1046.088827665815,1043.6603361050002,0.12394021,1032.059088096315,1060.118567235315,404,398,29,369,8,34,1,160.58137895115502,52.83980146577448,160.58137895115502,160.11341048999998,0.08602336499999999,123.217997018155,197.94476088415502,404,398,29,369,8,34,1,68.674632444835,0.10022531870090695,68.674632444835,68.48112036999999,0.044205894999999995,68.60376244233501,68.745502447335,404,398,29,369,8,107,291,29,78,221,476,34,1,21.60113395826,0.2787205111642172,21.60113395826,21.474453654999998,0.06920553,21.40404879476,21.79821912176,,,,,,,,,,,,,,,
../../modified_automata/ARMCautomata/IBakery-5P-UnrEnc-BwBad-Nondet/armcNFA_inclTest_30_removed_transitions,../../modified_automata/ARMCautomata/IBakery-5P-UnrEnc-BwBad-Nondet/armcNFA_inclTest_29,821,1,1,821,710,1,1,710,577,1,0.16633372736500002,0.003662483614786293,0.16633372736500002,0.152136,0.009352159999999998,0.163743960365,0.168923494365,955,32,2,30,4,35,29,6,1,1.2011290896000002,0.019924655476162255,1.2011290896000002,1.15940012,0.02600752,1.1870402306,1.2152179486,955,32,2,30,4,35,29,6,1,0.9262252983050001,0.010632340404633445,0.9262252983050001,0.8679007649999999,0.044441289999999994,0.9187070983050001,0.9337434983050001,,,,,,,,,,,,,,,956,32,2,30,5,6,1,51.69821330908,5.354210795641041,51.69821330908,51.476801664999996,0.09152844499999999,47.91221454758,55.48421207058,956,32,2,30,5,6,1,11.609212950225,0.06561508775540884,11.609212950225,11.524762714999998,0.05445477,11.562816076725,11.655609823725,956,32,2,30,5,2,30,2,0,37,32,6,1,4.54231150036,0.08593009163062985,4.54231150036,4.4595060449999995,0.059062359999999994,4.48154974986,4.60307325086,6897,1,0.5149534386500001,0.006591691133521121,0.5149534386500001,0.49986201499999994,0.009996327499999999,0.5102924091500001,0.5196144681500001,4352,4466,1343,3123,64,310,2268,1229,1,41.347894904435,0.8619786589759737,41.347894904435,41.20509115,0.039484655,40.738383949435004,41.957405859435,4352,4466,1343,3123,64,310,2268,1229,1,1.398284161905,0.00793499814919699,1.398284161905,1.33193448,0.049221919999999995,1.392673270905,1.4038950529049998,,,,,,,,,,,,,,,1208,1211,175,1036,10,171,1,865.33322616259,6.647051307601672,865.33322616259,863.45406826,0.126023175,860.63305110809,870.03340121709,1208,1211,175,1036,10,171,1,339.306317763735,4.274644383169317,339.306317763735,338.56240687499997,0.08898487499999999,336.283687733235,342.32894779423503,1208,1211,175,1036,10,377,834,175,202,322,1487,171,1,127.72094626430999,0.8784501188882311,127.72094626430999,127.36216990999998,0.079475565,127.09978822830999,128.34210430030998,,,,,,,,,,,,,,,
../../modified_automata/ARMCautomata/IBakery-5P-UnrEnc-BwBad-Nondet/armcNFA_inclTest_30_removed_transitions,../../modified_automata/ARMCautomata/IBakery-5P-UnrEnc-BwBad-Nondet/armcNFA_inclTest_22,821,1,1,821,770,1,1,770,6436,1,1.258593577315,0.03516892449860315,1.258593577315,1.2410210099999999,0.0099337325,1.233725392315,1.283461762315,2002,8,2,6,4,35,11,6,1,1.260182972595,0.026732157720621798,1.260182972595,1.19991954,0.03907864,1.241280482595,1.279085462595,2002,8,2,6,4,35,11,6,1,1.18557753928,0.013721229605122875,1.18557753928,1.104415145,0.06683618499999999,1.17587516478,1.19527991378,,,,,,,,,,,,,,,2003,8,2,6,5,6,1,42.989215542560004,7.557256450055474,42.989215542560004,42.830034399999995,0.071436245,37.64542825956,48.33300282556,2003,8,2,6,5,6,1,5.70950474138,0.05457612206072009,5.70950474138,5.6471874500000006,0.039379609999999995,5.67091359538,5.74809588738,2003,8,2,6,5,2,6,2,0,37,13,6,1,5.104430262419999,0.04627492250193475,5.104430262419999,5.04100762,0.034600275,5.07170895092,5.13715157392,19107,1,2.6066729187,0.14541301149376698,2.6066729187,2.5751937099999997,0.0216680875,2.5038503922,2.7094954452,5880,6086,1595,4491,72,310,2464,1389,1,55.062418590694996,0.2865772693622922,55.062418590694996,54.890873935,0.078932565,54.859777860194995,55.265059321195,5880,6086,1595,4491,72,310,2464,1389,1,2.0667605216049996,0.01530874301874954,2.0667605216049996,2.0059577999999996,0.044704394999999994,2.0559356056049998,2.077585437605,,,,,,,,,,,,,,,2255,2358,175,2183,10,171,1,1323.341912859745,46.11624728485958,1323.341912859745,1320.39672319,0.22409304,1290.732801681745,1355.951024037745,2255,2358,175,2183,10,171,1,649.9415499678951,1.2755238862036358,649.9415499678951,648.42841875,0.11927635,649.0396183783951,650.8434815573951,2255,2358,175,2183,10,528,1830,175,353,322,1659,171,1,175.35236956425,3.216577797038488,175.35236956425,174.95880677499997,0.085021775,173.07790559175,177.62683353675,,,,,,,,,,,,,,,
../../modified_automata/ARMCautomata/BubbleSort-full-FwBad-Nondet/armcNFA_inclTest_39,../../modified_automata/ARMCautomata/BubbleSort-full-FwBad-Nondet/armcNFA_inclTest_50,55,1,1,55,22,1,1,22,15,1,0.09369810933,0.004125735430092494,0.09369810933,0.07121588499999999,0.013059634999999998,0.09078077383000001,0.09661544483000001,23,12,12,0,4,37,46,15,1,0.8389864895750001,0.4640183367346869,0.8389864895750001,0.44934789499999994,0.039644405,0.5108759770750001,1.167097002075,23,12,12,0,4,37,46,15,1,0.3784702120350001,0.010373817922790905,0.3784702120350001,0.29940429,0.058909674999999995,0.37113481503500007,0.38580560903500005,,,,,,,,,,,,,,,24,12,12,0,5,15,1,1.9245728331,0.03313071465767718,1.9245728331,1.83005001,0.05160521999999999,1.9011458801,1.9479997861000002,24,12,12,0,5,15,1,0.924596464965,0.011808421616306358,0.924596464965,0.8429846049999999,0.0596725,0.916246649965,0.9329462799650001,24,12,12,0,5,12,0,12,0,43,51,15,1,0.9490440546000001,0.050603902341250444,0.9490440546000001,0.8712903799999999,0.046661154999999996,0.9132616921000001,0.9848264171000001,58,1,0.08247145359000001,0.0009069401072973279,0.08247145359000001,0.060603529999999996,0.017620854999999998,0.08183015009000001,0.08311275709,58,68,68,0,10,85,96,58,1,1.02721907417,0.003427524759320072,1.02721907417,0.9503812399999999,0.05574086,1.0247954481700001,1.0296427001700001,58,68,68,0,10,85,96,58,1,0.38729711198000005,0.008193272436559446,0.38729711198000005,0.33018319999999995,0.03826881,0.38150359348,0.39309063048000004,,,,,,,,,,,,,,,59,71,48,23,10,47,1,3.52048345769,0.06634073770482511,3.52048345769,3.434080055,0.056304379999999994,3.47357347219,3.56739344319,59,71,48,23,10,47,1,1.7691232140850002,0.027316416012285696,1.7691232140850002,1.7005444299999999,0.044795724999999995,1.7498075910850002,1.7884388370850002,59,71,48,23,10,71,0,48,23,96,105,47,1,1.7621358022500002,0.00948095560440025,1.7621358022500002,1.67973516,0.060989375,1.7554317542500002,1.7688398502500002,,,,,,,,,,,,,,,
../../modified_automata/ARMCautomata/BubbleSort-full-FwBad-Nondet/armcNFA_inclTest_39,../../modified_automata/ARMCautomata/BubbleSort-full-FwBad-Nondet/armcNFA_inclTest_6,55,1,1,55,3,1,2,3,16,1,0.100336517875,0.009549967812030477,0.100336517875,0.078867275,0.012777475,0.093583670875,0.10708936487500001,23,32,31,1,1,61,3,15,1,0.75223014848,0.014440471045781318,0.75223014848,0.6881997499999999,0.045475215,0.7420191934800001,0.76244110348,23,32,30,2,1,61,3,14,1,0.388383398375,0.020737637355695834,0.388383398375,0.327702155,0.040206565,0.37371967437500003,0.403047122375,,,,,,,,,,,,,,,24,32,18,14,2,14,1,2.132637107405,0.033694181888653474,2.132637107405,2.0701187049999996,0.034483635,2.108811722905,2.1564624919049997,24,32,18,14,2,14,1,1.063402587885,0.033526161296628415,1.063402587885,0.997292765,0.048678715,1.039696011885,1.087109163885,24,33,18,15,2,31,2,18,13,70,6,14,1,1.09026264264,0.0017285515179885599,1.09026264264,1.014480525,0.053219585,1.08904037214,1.09148491314,49,2,0.07908138740500001,0.0009404704037544275,0.07908138740500001,0.051533445,0.0224626,0.078416374405,0.07974640040500001,49,97,89,8,4,151,5,41,2,1.411439949945,0.0026733748710879375,1.411439949945,1.3493847899999998,0.039688915000000005,1.409549588445,1.413330311445,49,97,88,9,4,151,5,40,2,0.41239304134000004,0.004825155960567557,0.41239304134000004,0.34884119999999996,0.044960505,0.40898114084000003,0.41580494184000005,,,,,,,,,,,,,,,50,97,83,14,5,47,2,4.239058729330001,0.26636625543873843,4.239058729330001,4.16350921,0.043615459999999995,4.05070934383,4.42740811483,50,97,83,14,5,47,2,1.772760710885,0.03963243069593287,1.772760710885,1.7008499849999998,0.044674029999999997,1.744736350385,1.800785071385,49,97,75,22,4,88,9,75,13,171,6,38,1,1.69808512097,0.00039869225907708706,1.69808512097,1.6266571149999998,0.0508388,1.69780320297,1.69836703897,,,,,,,,,,,,,,,
../../modified_automata/ARMCautomata/BubbleSort-full-FwBad-Nondet/armcNFA_inclTest_39,../../modified_automata/ARMCautomata/BubbleSort-full-FwBad-Nondet/armcNFA_inclTest_59_removed_transitions,55,1,1,55,53,1,1,53,19,0,0.10338940354000001,0.008210878688304196,0.10338940354000001,0.08556587499999999,0.008993665,0.09758343554000001,0.10919537154000002,1,1,0,0,0,8,3,0,0,0.38519309457500006,0.002596352557840444,0.38519309457500006,0.330352105,0.03642422,0.383357196075,0.38702899307500005,1,1,0,0,0,8,3,0,0,0.354561284405,0.0027486859859249964,0.354561284405,0.2811364249999999,0.05472703500000001,0.35261766990500004,0.35650489890500003,,,,,,,,,,,,,,,1,1,0,1,0,0,0,1.367191304065,0.013442106274317177,1.367191304065,1.31260833,0.0367195,1.357686299565,1.376696308565,1,1,0,1,0,0,0,0.7722579796400001,0.01036628864978483,0.7722579796400001,0.703378335,0.04827376,0.7649279066400001,0.7795880526400001,1,1,0,0,0,0,0,0,0,9,3,0,0,0.75584279859,0.013382865575296223,0.75584279859,0.6852223399999999,0.05149975,0.7463796835900001,0.76530591359,19,0,0.10218784401,0.008463054886785533,0.10218784401,0.08601979999999998,0.008427125,0.09620356051000001,0.10817212751000001,1,1,0,0,0,8,3,0,0,0.37905591591,0.012177893394757647,0.37905591591,0.30434812499999997,0.054559055,0.37044484491,0.38766698691,1,1,0,0,0,8,3,0,0,0.369999542505,0.01894883468309597,0.369999542505,0.31258234,0.038641865,0.356600693005,0.38339839200500003,,,,,,,,,,,,,,,1,1,0,1,0,0,0,1.41969950512,0.007603929340031905,1.41969950512,1.349721675,0.04864114,1.4143227151200002,1.42507629512,1,1,0,1,0,0,0,0.80069044783,0.06228363052338084,0.80069044783,0.708465175,0.07382857,0.75664927033,0.84473162533,1,1,0,0,0,0,0,0,0,9,3,0,0,0.78469265567,0.022627868132095896,0.78469265567,0.71596956,0.04762551499999999,0.76869233667,0.80069297467,,,,,,,,,,,,,,,
../../modified_automata/ARMCautomata/BubbleSort-full-FwBad-Nondet/armcNFA_inclTest_39,../../modified_automata/ARMCautomata/BubbleSort-full-FwBad-Nondet/armcNFA_inclTest_59_changed_final,55,1,1,55,53,1,1,53,19,0,0.086217729975,0.019702698900188477,0.086217729975,0.06564974999999999,0.012241934999999999,0.072285817975,0.10014964197500001,1,1,0,0,0,8,3,0,0,0.39407279454,0.01429066340311921,0.39407279454,0.337475145,0.035783995,0.38396776954,0.40417781954000004,1,1,0,0,0,8,3,0,0,0.394505417615,0.0038092436272215415,0.394505417615,0.32485157499999995,0.046160965,0.391811875615,0.397198959615,,,,,,,,,,,,,,,1,1,0,1,0,0,0,1.444548342725,0.021475157506648024,1.444548342725,1.3667601999999999,0.05593305999999999,1.429363113225,1.459733572225,1,1,0,1,0,0,0,0.78123688519,0.03360739443075807,0.78123688519,0.70962591,0.047977254999999996,0.75747286869,0.80500090169,1,1,0,0,0,0,0,0,0,9,3,0,0,0.7677559111000001,0.020055146375775948,0.7677559111000001,0.7122495249999999,0.036119620000000005,0.7535747811000001,0.7819370411000001,19,0,0.084249932375,0.00047240248416154806,0.084249932375,0.06314672999999998,0.013196904999999998,0.08391589337500001,0.08458397137500001,1,1,0,0,0,8,3,0,0,0.41124021481000006,0.05045307222218269,0.41124021481000006,0.34085338,0.05028455,0.37556450531,0.44691592431000005,1,1,0,0,0,8,3,0,0,0.40136078921499996,0.028959869350478784,0.40136078921499996,0.338623545,0.044096945,0.380883069215,0.421838509215,,,,,,,,,,,,,,,1,1,0,1,0,0,0,1.45846645253,0.01492349427379644,1.45846645253,1.37695136,0.05909916,1.4479139485299999,1.46901895653,1,1,0,1,0,0,0,0.8030483283650001,0.021850839803958483,0.8030483283650001,0.73256106,0.04794736499999999,0.787597451365,0.818499205365,1,1,0,0,0,0,0,0,0,9,3,0,0,0.7538767280500001,0.02586738521911377,0.7538767280500001,0.688523605,0.045979715000000004,0.73558572455,0.7721677315500001,,,,,,,,,,,,,,,
../../modified_automata/ARMCautomata/ProdConsDHeadQ-FwBad-Nondet/armcNFA_inclTest_19,../../modified_automata/ARMCautomata/IProdConsDHeadQ-FwBad-Nondet/armcNFA_inclTest_16,64,1,1,64,64,1,1,64,1,0,0.1003552362,0.0022985184744978722,0.1003552362,0.08383062999999999,0.007554509999999999,0.0987299382,0.10198053420000001,1,1,1,0,0,15,18,1,0,0.3946214759300001,0.0020219619413080116,0.3946214759300001,0.3448812,0.032340245,0.39319173293000004,0.39605121893000006,1,1,1,0,0,15,18,1,0,0.393787585565,0.014060036283794514,0.393787585565,0.3236607899999999,0.053236165,0.383845638565,0.403729532565,,,,,,,,,,,,,,,1,1,1,0,0,1,0,1.4326782268,0.0464831788840231,1.4326782268,1.3430929600000001,0.06724689,1.3998096558,1.4655467978,1,1,1,0,0,1,0,0.7264093432250001,0.007062968610793755,0.7264093432250001,0.6537172849999999,0.05009041,0.7214150702250001,0.731403616225,1,1,1,0,0,1,0,1,0,15,18,1,0,0.74046926646,0.023428446651580715,0.74046926646,0.6681269750000001,0.05290805999999999,0.72390285296,0.75703567996,1,0,0.08656979683,0.003454369361161019,0.08656979683,0.05970582499999999,0.01950594,0.08412718883,0.08901240483,1,1,1,0,0,15,18,1,0,0.39552800880500005,0.02436251137500437,0.39552800880500005,0.327358995,0.050914105,0.37830111180500003,0.412754905805,1,1,1,0,0,15,18,1,0,0.39882360193000005,0.019214710368355988,0.39882360193000005,0.328455705,0.050042279999999995,0.38523674993000007,0.41241045393000003,,,,,,,,,,,,,,,1,1,1,0,0,1,0,1.49136367387,0.12586797760679325,1.49136367387,1.4231650949999999,0.045226425,1.4023615733700001,1.5803657743700001,1,1,1,0,0,1,0,0.6935833394450001,0.00398102107757525,0.6935833394450001,0.6283634499999999,0.04803011,0.690768332445,0.6963983464450001,1,1,1,0,0,1,0,1,0,15,18,1,0,0.74520245218,0.0028301475155448363,0.74520245218,0.6769589149999999,0.048370029999999994,0.7432012356800001,0.7472036686800001,,,,,,,,,,,,,,,
../../modified_automata/ARMCautomata/IProdConsDHeadQ-FwBad-Nondet/armcNFA_inclTest_19,../../modified_automata/ARMCautomata/IProdConsDHeadQ-FwBad-Nondet/armcNFA_inclTest_16,64,1,1,64,64,1,1,64,320,1,0.102170767925,0.01563318411605456,0.102170767925,0.079718105,0.016443555,0.091116437425,0.113225098425,397,314,300,14,13,117,117,306,1,4.2219182251100005,0.09878603113208106,4.2219182251100005,4.150602919999999,0.04304907499999999,4.15206595261,4.29177049761,229,146,132,14,13,117,117,138,1,0.40725897473000006,0.011222083723598966,0.40725897473000006,0.351128025,0.037372724999999996,0.39932376323,0.41519418623000004,,,,,,,,,,,,,,,398,314,314,0,14,320,1,17.178900137005,3.2758896720138946,17.178900137005,17.016680394999998,0.051028624999999994,14.862496335505,19.495303938505,398,314,314,0,14,320,1,10.026280869645,1.8208690911427163,10.026280869645,8.563173845000001,0.058172025,8.738731987645,11.313829751645,244,160,134,26,14,134,26,134,0,119,119,140,1,3.870842634325,0.014019173290016465,3.870842634325,3.7872687349999996,0.05582894,3.8609295818250002,3.880755686825,1086,1,0.10694550328,0.00018316045531718513,0.10694550328,0.082522345,0.014679795,0.10681598928000001,0.10707501728,1082,1081,899,182,13,500,500,900,1,13.08847970882,0.0948593922228335,13.08847970882,12.986642999999999,0.043488679999999995,13.02140398932,13.15555542832,914,913,731,182,13,500,500,732,1,0.634717805925,0.04081665707061824,0.634717805925,0.56861516,0.049957014999999994,0.605856070925,0.663579540925,,,,,,,,,,,,,,,1083,1081,913,168,14,914,1,50.426169752090004,0.8572359537874173,50.426169752090004,50.14649326999999,0.071783235,49.82001239609,51.03232710809,1083,1081,913,168,14,914,1,25.834785602815003,0.06497182635260235,25.834785602815003,25.698834059999996,0.05978122,25.788843583815,25.880727621815,929,927,733,194,14,733,194,733,0,503,503,734,1,18.990269266654998,0.691106213378368,18.990269266654998,18.816642269999996,0.05449999,18.501583376655,19.478955156655,,,,,,,,,,,,,,,
